Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
2,1,1,150,511,7,28,510.607638,407.28,917.8876379999999,0.00030543677458766036,0.0005889281507656066,0,0,675.4123396456932,74.58775029446407,-6.882887292529541e-12,118.0,0.9307727655848437,0.9874863198630941,0.8687278253400642,0.5939404,0.3394,0.9333404,0.58914,0.3394,0.92854
3,1,1,160,511,7,28,453.509442,475.67999999999995,929.1894419999999,0.0,0.0,0,0,720.0,74.5,118.0,-6.882887292529541e-12,0.9802562685279744,0.9994310192948149,0.9056819005409328,0.5275236,0.3964,0.9239236,0.52326,0.3964,0.91966
4,1,1,160,511,7,28,442.121004,492.24,934.3610040000001,0.0,0.0,0,0,720.0,74.5,118.0,-6.882887292529541e-12,0.9874846156617231,0.9971310198554383,0.9129063542069488,0.5142765333333333,0.4102,0.9244765333333334,0.51012,0.4102,0.92032
5,1,1,160,511,7,28,446.02115399999997,486.72,932.741154,0.0,0.0,0,0,720.0,74.5,-6.882887292529541e-12,118.0,0.985222660613967,0.9980997276485742,0.9107528324106713,0.5188132,0.4056,0.9244132,0.51462,0.4056,0.92022
6,1,1,160,511,7,28,449.45328600000005,482.64,932.093286,0.0,0.0,0,0,720.0,74.5,118.0,-6.882887292529541e-12,0.9832843028432781,0.9987339246655881,0.9095433554175545,0.5228054666666667,0.4022,0.9250054666666667,0.51858,0.4022,0.92078
7,1,1,165,511,7,28,443.05704000000003,490.56,933.6170400000001,0.0,0.0,0,0,742.5,74.5,118.0,-6.882887292529541e-12,0.9868781197912886,0.9974178531200539,0.9120385465362895,0.5153653333333333,0.4088,0.9241653333333333,0.5112,0.4088,0.92
8,1,1,165,511,7,28,436.504788,498.48,934.984788,0.0,0.0,0,0,742.5,74.5,-6.882887292529541e-12,118.0,0.9900927734100652,0.9956255547321171,0.9139979391921217,0.5077437333333333,0.4154,0.9231437333333333,0.50364,0.4154,0.91904
9,1,1,165,511,7,28,438.68887200000006,495.59999999999997,934.2888720000001,0.0,0.0,0,0,742.5,74.5,-6.882887292529541e-12,118.0,0.9890195728359431,0.996303220314936,0.9131462110248136,0.5102842666666667,0.413,0.9232842666666666,0.50616,0.413,0.91916
10,1,1,170,511,7,28,437.59683,496.56,934.15683,0.0,0.0,0,0,765.0,74.5,-6.882887292529541e-12,118.0,0.9894664599855325,0.9960317844109764,0.9130935018050892,0.509014,0.4138,0.922814,0.5049,0.4138,0.9187
1,1,2,150,511,27,108,340.71710400000006,656.16,996.877104,0.0,0.0,0,0,675.0,164.5,118.0,-6.882887292529541e-12,0.9751752486426333,0.9992284904126051,0.919710401060636,0.3963232,0.5468,0.9431232,0.39312,0.5468,0.93992
