Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
1,1,1,365,511,102,408,294.85134,650.64,945.49134,0.0,0.0,0,0,1642.5,502.0,-6.882887292529541e-12,118.0,0.9517847781099121,0.8759620990110173,0.842493235609107,0.342972,0.5422,0.885172,0.3402,0.5422,0.8824
2,1,1,350,511,117,468,326.52055800000005,603.36,929.8805580000001,0.0,0.0,0,0,1575.0,569.5,-6.882887292529541e-12,118.0,0.980951895197864,0.9185821556112065,0.8657976906334147,0.37980973333333334,0.5028,0.8826097333333334,0.37674,0.5028,0.87954
3,1,1,350,511,117,468,331.824762,593.52,925.344762,0.0,0.0,0,0,1575.0,569.5,-6.882887292529541e-12,118.0,0.9850125645526161,0.9259425838225488,0.8673819700887169,0.3859796,0.4946,0.8805796,0.38286,0.4946,0.87746
4,1,1,350,511,117,468,336.504942,587.52,924.024942,0.0,0.0,0,0,1575.0,569.5,-6.882887292529541e-12,118.0,0.9877346649061938,0.9312756841717371,0.8702175503204486,0.3914236,0.4896,0.8810236,0.38826,0.4896,0.87786
5,1,1,350,511,117,468,336.660948,587.52,924.180948,0.0,0.0,0,0,1575.0,569.5,118.0,-6.882887292529541e-12,0.9877843824327008,0.9313768028490886,0.8704406025739003,0.39160506666666667,0.4896,0.8812050666666666,0.38844,0.4896,0.87804
6,1,1,350,511,117,468,330.264702,595.2,925.464702,0.0,0.0,0,0,1575.0,569.5,118.0,-6.882887292529541e-12,0.9841118857057363,0.9242553595904118,0.8661807722747303,0.38416493333333335,0.496,0.8801649333333333,0.38106,0.496,0.87706
7,1,1,350,511,117,468,336.504942,587.76,924.264942,0.0,0.0,0,0,1575.0,569.5,-6.882887292529541e-12,118.0,0.9876907777956934,0.9311865458004409,0.870376422895921,0.3914236,0.4898,0.8812236,0.38826,0.4898,0.87806
8,1,1,350,511,117,468,334.16485200000005,591.12,925.284852,0.0,0.0,0,0,1575.0,569.5,-6.882887292529541e-12,118.0,0.9862919994765984,0.9284021656390314,0.8692207172059253,0.3887016,0.4926,0.8813016,0.38556,0.4926,0.87816
9,1,1,350,511,117,468,330.888726,595.4399999999999,926.328726,0.0,0.0,0,0,1575.0,569.5,118.0,118.0,0.9842911508091762,0.9245884424176504,0.8672498774993777,0.3848908,0.4962,0.8810908,0.38178,0.4962,0.87798
10,1,1,350,511,117,468,332.916804,592.08,924.9968040000001,0.0,0.0,0,0,1575.0,569.5,-6.882887292529541e-12,118.0,0.9856791072634797,0.9272142615374578,0.8680381743877025,0.38724986666666666,0.4934,0.8806498666666667,0.38412,0.4934,0.87752
1,1,2,320,511,147,511,313.10404200000005,632.1600000000001,945.2640420000001,0.0,0.0,0,0,1440.0,704.5,-6.882887292529541e-12,58.99999999999656,0.9677718109922989,0.9969259468643846,0.8622881675726579,0.3642036,0.5268,0.8910036,0.36126,0.5268,0.88806
