Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
1,0,1,15,63,15,63,0,1028.16,1028.16,0,0.0,0,0,0,110.5,0,118.0,0.5,1.0,0.4284,0.0,0.8568,0.8568,0.0,0.8568,0.8568
2,0,1,15,63,15,63,0,1028.16,1028.16,0,0.0,0,0,0,110.5,0,118.0,0.5,1.0,0.4284,0.0,0.8568,0.8568,0.0,0.8568,0.8568
3,0,1,15,63,15,63,0,1028.16,1028.16,0,0.0,0,0,0,110.5,0,118.0,0.5,1.0,0.4284,0.0,0.8568,0.8568,0.0,0.8568,0.8568
1,0,2,15,63,15,63,0,1028.16,1028.16,0,0.0,0,0,0,110.5,0,58.99999999999656,0.5,0.5007007705037986,0.4284,0.0,0.8568,0.8568,0.0,0.8568,0.8568
2,0,2,15,63,15,63,0,1107.36,1107.36,0,0.0,0,0,0,110.5,0,58.99999999999656,0.5,1.0,0.4614,0.0,0.9228,0.9228,0.0,0.9228,0.9228
3,0,2,15,63,15,63,0,1107.36,1107.36,0,0.0,0,0,0,110.5,0,58.99999999999656,0.5,1.0,0.4614,0.0,0.9228,0.9228,0.0,0.9228,0.9228
1,0,3,15,63,15,63,0,1136.16,1136.16,0,0.0,0,0,0,110.5,0,39.333333333328746,0.5,0.9999999999999998,0.4734,0.0,0.9468,0.9468,0.0,0.9468,0.9468
2,0,3,15,63,15,63,0,1136.16,1136.16,0,0.0,0,0,0,110.5,0,39.333333333328746,0.5,0.9999999999999998,0.4734,0.0,0.9468,0.9468,0.0,0.9468,0.9468
3,0,3,15,63,15,63,0,1107.36,1107.36,0,0.0,0,0,0,110.5,0,39.333333333328746,0.5,0.6684016416140807,0.4614,0.0,0.9228,0.9228,0.0,0.9228,0.9228
1,0,4,15,63,15,63,0,1107.36,1107.36,0,0.0,0,0,0,110.5,0,29.499999999994838,0.5,0.5,0.4614,0.0,0.9228,0.9228,0.0,0.9228,0.9228
2,0,4,15,63,15,63,0,1107.36,1107.36,0,0.0,0,0,0,110.5,0,29.499999999994838,0.5,0.5006501939575985,0.4614,0.0,0.9228,0.9228,0.0,0.9228,0.9228
3,0,4,15,63,15,63,0,1107.36,1107.36,0,0.0,0,0,0,110.5,0,29.499999999994838,0.5,0.5006501939575988,0.4614,0.0,0.9228,0.9228,0.0,0.9228,0.9228
1,0,5,15,63,15,63,0,1107.36,1107.36,0,0.0,0,0,0,110.5,0,23.599999999994495,0.5,0.4026075219860741,0.4614,0.0,0.9228,0.9228,0.0,0.9228,0.9228
2,0,5,15,63,15,63,0,1136.16,1136.16,0,0.0,0,0,0,110.5,0,23.599999999994495,0.5,0.6007599719172283,0.4734,0.0,0.9468,0.9468,0.0,0.9468,0.9468
3,0,5,15,63,15,63,0,1108.08,1108.08,0,0.0,0,0,0,110.5,0,23.599999999994495,0.5,0.4062834867853973,0.4617,0.0,0.9234,0.9234,0.0,0.9234,0.9234
