Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
1,1,0,15,63,15,63,842.4324,0,842.4324,0.0,0,0,0,67.5,0,118.0,0,0.5,1.0,0.48996,0.97992,0.0,0.97992,0.972,0.0,0.972
2,1,0,15,63,15,63,842.4324,0,842.4324,0.0,0,0,0,67.5,0,118.0,0,0.5,1.0,0.48996,0.97992,0.0,0.97992,0.972,0.0,0.972
3,1,0,15,63,15,63,842.4324,0,842.4324,0.0,0,0,0,67.5,0,118.0,0,0.5,1.0,0.48996,0.97992,0.0,0.97992,0.972,0.0,0.972
4,1,0,15,63,15,63,842.4324,0,842.4324,0.0,0,0,0,67.5,0,118.0,0,0.5,1.0,0.48996,0.97992,0.0,0.97992,0.972,0.0,0.972
5,1,0,15,63,15,63,842.5884060000001,0,842.5884060000001,0.0,0,0,0,67.5,0,118.0,0,0.5,1.0,0.4900507333333333,0.9801014666666666,0.0,0.9801014666666666,0.97218,0.0,0.97218
6,1,0,15,63,15,63,842.5884060000001,0,842.5884060000001,0.0,0,0,0,67.5,0,118.0,0,0.5,1.0,0.4900507333333333,0.9801014666666666,0.0,0.9801014666666666,0.97218,0.0,0.97218
7,1,0,15,63,15,63,842.744412,0,842.744412,0.0,0,0,0,67.5,0,118.0,0,0.5,1.0,0.4901414666666667,0.9802829333333334,0.0,0.9802829333333334,0.97236,0.0,0.97236
8,1,0,15,63,15,63,842.5884060000001,0,842.5884060000001,0.0,0,0,0,67.5,0,118.0,0,0.5,1.0,0.4900507333333333,0.9801014666666666,0.0,0.9801014666666666,0.97218,0.0,0.97218
9,1,0,15,63,15,63,842.5884060000001,0,842.5884060000001,0.0,0,0,0,67.5,0,118.0,0,0.5,1.0,0.4900507333333333,0.9801014666666666,0.0,0.9801014666666666,0.97218,0.0,0.97218
10,1,0,15,63,15,63,842.4324,0,842.4324,0.0,0,0,0,67.5,0,118.0,0,0.5,1.0,0.48996,0.97992,0.0,0.97992,0.972,0.0,0.972
1,2,0,15,63,15,63,795.6306000000001,0,795.6306000000001,0.1133518776077886,0,0,0,82.80250347705147,0,58.99999999999656,0,0.5,0.9996886782662839,0.46274,0.92548,0.0,0.92548,0.918,0.0,0.918
2,2,0,15,63,15,63,797.034654,0,797.034654,0.11039526379940798,0,0,0,82.40336061292008,0,58.99999999999656,0,0.5,0.9998176326162515,0.4635566,0.9271132,0.0,0.9271132,0.91962,0.0,0.91962
3,2,0,15,63,15,63,801.09081,0,801.09081,0.1021157545025354,0,0,0,81.28562685784227,0,58.99999999999656,0,0.5,0.9999635559474608,0.4659156666666667,0.9318313333333333,0.0,0.9318313333333333,0.9243,0.0,0.9243
4,2,0,15,63,15,63,795.006576,0,795.006576,0.1149704758596735,0,0,0,83.02101424105592,0,58.99999999999656,0,0.5,0.9999653447832115,0.46237706666666667,0.9247541333333333,0.0,0.9247541333333333,0.91728,0.0,0.91728
5,2,0,15,63,15,63,795.786606,0,795.786606,0.11333217451764296,0,0,0,82.79984355988181,0,58.99999999999656,0,0.5,0.9999354005217609,0.46283073333333336,0.9256614666666667,0.0,0.9256614666666667,0.91818,0.0,0.91818
6,2,0,15,63,15,63,795.786606,0,795.786606,0.11333217451764296,0,0,0,82.79984355988181,0,58.99999999999656,0,0.5,0.9999796700553752,0.46283073333333336,0.9256614666666667,0.0,0.9256614666666667,0.91818,0.0,0.91818
7,2,0,15,63,15,63,799.218738,0,799.218738,0.10640153497296355,0,0,0,81.86420722135009,0,58.99999999999656,0,0.5,0.9997857204406395,0.46482686666666667,0.9296537333333333,0.0,0.9296537333333333,0.92214,0.0,0.92214
8,2,0,15,63,15,63,796.254624,0,796.254624,0.11234782608695652,0,0,0,82.66695652173912,0,58.99999999999656,0,0.5,0.9999187807345445,0.46310293333333336,0.9262058666666667,0.0,0.9262058666666667,0.91872,0.0,0.91872
9,2,0,15,63,15,63,795.942612,0,795.942612,0.11300417246175243,0,0,0,82.75556328233658,0,58.99999999999656,0,0.5,0.9994653730363096,0.46292146666666667,0.9258429333333333,0.0,0.9258429333333333,0.91836,0.0,0.91836
